train_acc_SER,train_loss,val_SER_acc,val_loss
0.524054983,1.0378128,0.503502747,1.101714
0.533591065,1.0337662,0.521978022,1.0467174
0.541494845,1.0184561,0.547458791,1.0256803
0.54733677,1.0080346,0.530082418,1.0361875
0.542182131,1.0128721,0.503228022,1.0513045
0.554295533,1.004549,0.526304945,1.0508907
0.564604811,0.98823047,0.540659341,1.0269225
0.57757732,0.98261106,0.547321429,1.0211987
0.576202749,0.9664124,0.558035714,1.013094
0.604123711,0.9369981,0.553228022,1.038688
0.604553265,0.94055873,0.565590659,0.9990526
0.601460481,0.9360059,0.552197802,1.0168064
0.617525773,0.91274035,0.564354396,0.99355984
0.617353952,0.9124472,0.586195055,0.9891232
0.622938144,0.9016349,0.568612637,0.9776112
0.639776632,0.87459546,0.580494505,0.9777923
0.640292096,0.87138313,0.588873626,0.99409336
0.650343643,0.8570926,0.570192308,1.001391
0.657989691,0.84306777,0.586126374,0.9635485
0.659278351,0.8281663,0.572733516,0.9833543
0.671649485,0.81252414,0.577403846,0.9918847
0.677147766,0.8003742,0.583379121,1.00824
0.675515464,0.7995089,0.560302198,1.0261263
0.689776632,0.78756213,0.584958791,0.99121064
0.69742268,0.77366704,0.587156593,0.9857264
0.691494845,0.7761732,0.5875,1.0034096
0.699484536,0.75144684,0.577678571,1.0029786
0.705498282,0.7459806,0.595192308,1.0016633
0.709364261,0.7386089,0.572733516,1.081076
0.709020619,0.7307025,0.597458791,0.99926513
0.712972509,0.72114784,0.592101648,1.0030023
0.727147766,0.69881546,0.578708791,1.0492507
0.728522337,0.7053021,0.592582418,1.0209119
0.731013746,0.6914521,0.575480769,1.0341175
0.742783505,0.6789393,0.564423077,1.101375
0.747594502,0.66018575,0.591620879,1.0747912
0.758676976,0.6510054,0.588118132,1.0588048
0.759707904,0.63634884,0.577815934,1.0715438
0.75661512,0.6353567,0.588461538,1.0598763
0.766151203,0.6268466,0.56978022,1.1168191
0.773969072,0.61602706,0.590659341,1.0771008
0.770962199,0.6129678,0.598626374,1.0659604
0.782817869,0.59882003,0.588461538,1.1313833
0.78685567,0.5768508,0.583173077,1.170705
0.788058419,0.57253224,0.594848901,1.1368564
0.792353952,0.5614728,0.593681319,1.1351984
0.791065292,0.5635705,0.587568681,1.1587363
0.804553265,0.54437673,0.579876374,1.1960257
0.799828179,0.55385536,0.581662088,1.2199885
0.798281787,0.5417954,0.579120879,1.2297885
0.810910653,0.5204536,0.596497253,1.1977061
0.823109966,0.5018316,0.579739011,1.2588085
0.818556701,0.50155777,0.585302198,1.2551639
0.830068729,0.48093492,0.574725275,1.3169386
0.808591065,0.5113023,0.581387363,1.2425905
0.831701031,0.47500503,0.576923077,1.2464107
0.824398625,0.48373348,0.58543956,1.2508945
0.827405498,0.4915514,0.580288462,1.2395598
0.834278351,0.4610682,0.602335165,1.263237
0.831786942,0.4632064,0.577335165,1.2545738
0.847594502,0.433942,0.582760989,1.2925385
0.846907216,0.43569937,0.557142857,1.3817044
0.841494845,0.44543883,0.578090659,1.3070832
0.841151203,0.43339354,0.583997253,1.3069121
0.845446735,0.42551413,0.586195055,1.351506
0.846735395,0.42837286,0.579258242,1.3395596
0.862199313,0.40001792,0.565865385,1.4110384
